title	author	year	category
The Philosophy of Health; Volume 1 (of 2): or, an exposition of the physical and mental constitution of man	Southwood Smith	1847	Non-Fictional 
History of Brighthelmston; or, Brighton as I View it and Others Knew It: With a Chronological Table of Local Events	John Ackerson Erredge	1851	Non-Fictional 
Summary Narrative of an Exploratory Expedition to the Sources of the Mississippi River, in 1820: Resumed and Completed, by the Discovery of its Origin in Itasca Lake, in 1832	Henry Rowe Schoolcraft	1836	Non-Fictional 
The Infant System: For Developing the Intellectual and Moral Powers of all Children, from One to Seven years of Age	Samuel Wilderspin	1850	Non-Fictional 
Bulfinch's Mythology: The Age of Fable; The Age of Chivalry; Legends of Charlemagne	Thomas Bulfinch	1862	Non-Fictional 
Dealings with the Dead, Volume 2 (of 2)	Lucius Manlius Sargent	1846	Non-Fictional 
Science for the School and Family, Part I. Natural Philosophy	Worthington Hooker	1853	Non-Fictional 
On the various forces of nature and their relations to each other	Michael Faraday	1847	Non-Fictional 
British Bees: An Introduction into the Studies of the Natural History and Economy of the Bees Indigenous to the British Isles	William Edward Shuckard	1859	Non-Fictional 
Gunnery in 1858: Being a Treatise on Rifles, Cannon, and Sporting Arms: Explaining the Principles of the Science of Gunnery, and Describing the Newest Improvements in Fire-Arms	William Greener	1846	Non-Fictional 
The Sabbath-School Index: Pointing out the history and progress of Sunday-schools, with approved modes of instruction.	Richard Gay Pardee	1842	Non-Fictional 
The Opium Habit	Horace B. Day	1860	Non-Fictional 
History of Greece, Volume 12 (of 12)	George Grote	1844	Non-Fictional 
History of Greece, Volume 03 (of 12)	George Grote	1852	Non-Fictional 
History of Greece, Volume 05 (of 12)	George Grote	1852	Non-Fictional 
History of Greece, Volume 04 (of 12)	George Grote	1838	Non-Fictional 
Reflections on the Decline of Science in England, and on Some of Its Causes	Charles Babbage	1857	Non-Fictional 
On the Connexion of the Physical Sciences	Mary Somerville	1880	Non-Fictional 
Knowledge Is Power:: A View of the Productive Forces of Modern Society and the Results of Labor, Capital and Skill.	Charles Knight	1825	Non-Fictional 
Athens: Its Rise and Fall, Book II	Edward George Bulwer-Lytton	1870	Non-Fictional 
A Popular History of England, From the Earliest Times to the Reign of Queen Victoria; Vol. I	François Guizot	1837	Non-Fictional 
Elements of Agricultural Chemistry	Thomas Anderson	1852	Non-Fictional 
Practical Guide to English Versification: With a Compendious Dictionary of Rhymes, an Examination; of Classical Measures, and Comments Upon Burlesque and; Comic Verse, Vers de Société, and Song-writing	Tom Hood	1838	Non-Fictional 
A Manual of Elementary Geology: or, The Ancient Changes of the Earth and its Inhabitants as Illustrated by Geological Monuments	Sir Charles Lyell	1844	Non-Fictional 
Health and Education	Charles Kingsley	1837	Non-Fictional 
Stones of the Temple; Or, Lessons from the Fabric and Furniture of the Church	Walter Field	1847	Non-Fictional 
History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce — Complete (1600-1609)	John Lothrop Motley	1849	Non-Fictional 
A Dictionary of English Synonymes and Synonymous or Parallel Expressions: Designed as a Practical Guide to Aptness and Variety of Phraseology	Richard Soule	1838	Non-Fictional 
The Rise of the Dutch Republic — Complete (1566-74)	John Lothrop Motley	1871	Non-Fictional 
A History of Domestic Manners and Sentiments in England During the Middle Ages	Thomas Wright	1859	Non-Fictional 
The History, Theory, and Practice of Illuminating: Condensed from 'The Art of Illuminating' by the same illustrator and author	Matthew Digby Wyatt	1860	Non-Fictional 
An Architect's Note-Book in Spain: principally illustrating the domestic architecture of that country.	Matthew Digby Wyatt	1858	Non-Fictional 
History of Lace	Fanny Bury Palliser	1862	Non-Fictional 
The Physical Basis of Mind: Being the Second Series of Problems of Life and Mind.	George Henry Lewes	1853	Non-Fictional 
Lectures on the rise and development of medieval architecture; vol. 2	George Gilbert Scott	1872	Non-Fictional 
The History of Ancient America, Anterior to the Time of Columbus: Proving the Identity of the Aborigines with the Tyrians and Israelites; and the Introduction of Christianity into the Western Hemisphere By The Apostle St. Thomas	George Jones	1838	Non-Fictional 
The Subterranean World	Georg Hartwig	1871	Non-Fictional 
Guano: A Treatise of Practical Information for Farmers	Solon Robinson	1852	Non-Fictional 
Wild Wales: The People, Language, \& Scenery	George Borrow	1862	Non-Fictional 
History of Indian and Eastern Architecture	James Fergusson	1876	Non-Fictional 
Parasites: A Treatise on the Entozoa of Man and Animals: Including Some Account of the Ectozoa	Thomas Spencer Cobbold	1879	Non-Fictional 
History of American Socialisms	John Humphrey Noyes	1869	Non-Fictional 
London Labour and the London Poor, Vol. 2	Henry Mayhew	1851	Non-Fictional 
Companion to the Bible	Elijah Porter Barrows	1867	Non-Fictional 
The Non-religion of the Future: A Sociological Study	Jean-Marie Guyau	1887	Non-Fictional 
Ten Great Religions: An Essay in Comparative Theology	James Freeman Clarke	1871	Non-Fictional 
A History of Oregon, 1792-1849: Drawn From Personal Observation and Authentic Information	William Henry Gray	1870	Non-Fictional 
Bible Animals;: Being a Description of Every Living Creature Mentioned in the Scripture, from the Ape to the Coral.	John George Wood	1869	Non-Fictional 
